date_course;course;currency_id
05.03.2022;116,5312;3
04.03.2022;124,0161;3
03.03.2022;114,5544;3
02.03.2022;102,9112;3
01.03.2022;104,4772;3
26.02.2022;93,5994;3
25.02.2022;97,7688;3
23.02.2022;90,8820;3
22.02.2022;87,3379;3
19.02.2022;86,1489;3
18.02.2022;86,1308;3
17.02.2022;85,3060;3
16.02.2022;86,2656;3
15.02.2022;86,8451;3
12.02.2022;85,3574;3
11.02.2022;85,3798;3
10.02.2022;85,3784;3
09.02.2022;85,8920;3
08.02.2022;86,5181;3
05.02.2022;87,1163;3
04.02.2022;86,5610;3
03.02.2022;86,2826;3
02.02.2022;86,7869;3
01.02.2022;86,5032;3
29.01.2022;86,6419;3
28.01.2022;88,4680;3
27.01.2022;89,1511;3
26.01.2022;88,9286;3
25.01.2022;87,5925;3
22.01.2022;86,9054;3
21.01.2022;86,8215;3
20.01.2022;87,1318;3
19.01.2022;87,0216;3
18.01.2022;86,8609;3
15.01.2022;86,8894;3
14.01.2022;85,4556;3
13.01.2022;84,6709;3
12.01.2022;84,8784;3
11.01.2022;85,1315;3
31.12.2021;84,0695;3
30.12.2021;83,2040;3
29.12.2021;83,2194;3
28.12.2021;82,9363;3
25.12.2021;82,9300;3
24.12.2021;83,1223;3
23.12.2021;83,1541;3
22.12.2021;83,3213;3
21.12.2021;83,6187;3
18.12.2021;83,5026;3
17.12.2021;83,1571;3
16.12.2021;83,2375;3
15.12.2021;82,8299;3
14.12.2021;82,8660;3
11.12.2021;83,1158;3
10.12.2021;83,3444;3
09.12.2021;83,3640;3
08.12.2021;83,7114;3
07.12.2021;83,1138;3
04.12.2021;83,2406;3
03.12.2021;83,8105;3
02.12.2021;83,8354;3
01.12.2021;84,8234;3
30.11.2021;84,4820;3
27.11.2021;84,9526;3
26.11.2021;83,6793;3
25.11.2021;83,6394;3
24.11.2021;84,1718;3
23.11.2021;82,7715;3
20.11.2021;82,5845;3
19.11.2021;82,2583;3
18.11.2021;82,3553;3
17.11.2021;82,5244;3
16.11.2021;82,7736;3
13.11.2021;82,2173;3
12.11.2021;81,6552;3
11.11.2021;81,7870;3
10.11.2021;82,6497;3
09.11.2021;82,5355;3
04.11.2021;82,8112;3
03.11.2021;82,9577;3
02.11.2021;82,1687;3
30.10.2021;82,2898;3
29.10.2021;81,8393;3
28.10.2021;81,0289;3
27.10.2021;80,7019;3
26.10.2021;81,7418;3
23.10.2021;82,4979;3
22.10.2021;82,6399;3
21.10.2021;82,6162;3
20.10.2021;82,6841;3
19.10.2021;82,4592;3
16.10.2021;82,7276;3
15.10.2021;83,3347;3
14.10.2021;83,0028;3
13.10.2021;83,0934;3
12.10.2021;82,9273;3
09.10.2021;83,1248;3
08.10.2021;83,6053;3
07.10.2021;83,9251;3
06.10.2021;84,1723;3
05.10.2021;84,6355;3
02.10.2021;84,4577;3
01.10.2021;84,3050;3
30.09.2021;84,8755;3
29.09.2021;84,6752;3
28.09.2021;85,0355;3
25.09.2021;85,6823;3
24.09.2021;85,2040;3
23.09.2021;85,4889;3
22.09.2021;85,8568;3
21.09.2021;85,8785;3
18.09.2021;85,4614;3
17.09.2021;85,3622;3
16.09.2021;86,0674;3
15.09.2021;85,9880;3
14.09.2021;86,1150;3
11.09.2021;86,1478;3
10.09.2021;86,4677;3
09.09.2021;86,9114;3
08.09.2021;86,8922;3
07.09.2021;86,5743;3
04.09.2021;86,5366;3
03.09.2021;86,2970;3
02.09.2021;86,3949;3
01.09.2021;86,6660;3
15.09.2022;8,5677;4
14.09.2022;8,6616;4
13.09.2022;8,7253;4
10.09.2022;8,7351;4
09.09.2022;8,7374;4
08.09.2022;8,7565;4
07.09.2022;8,7471;4
06.09.2022;8,7842;4
03.09.2022;8,7437;4
02.09.2022;8,7284;4
01.09.2022;8,7261;4
31.08.2022;8,7383;4
30.08.2022;8,7217;4
27.08.2022;8,7448;4
26.08.2022;8,7194;4
25.08.2022;8,7353;4
24.08.2022;8,7174;4
23.08.2022;8,7128;4
20.08.2022;8,6583;4
19.08.2022;8,8274;4
18.08.2022;8,9510;4
17.08.2022;9,0156;4
16.08.2022;9,0452;4
13.08.2022;9,0398;4
12.08.2022;9,0058;4
11.08.2022;8,9525;4
10.08.2022;8,9534;4
09.08.2022;8,9613;4
06.08.2022;8,9688;4
05.08.2022;8,9336;4
04.08.2022;8,9447;4
03.08.2022;8,9518;4
02.08.2022;9,2823;4
30.07.2022;9,2164;4
29.07.2022;9,0455;4
28.07.2022;9,0413;4
27.07.2022;8,7872;4
26.07.2022;8,6310;4
23.07.2022;8,5828;4
22.07.2022;8,3985;4
21.07.2022;8,1601;4
20.07.2022;8,2579;4
19.07.2022;8,4264;4
16.07.2022;8,5723;4
15.07.2022;8,6395;4
14.07.2022;8,7245;4
13.07.2022;8,7948;4
12.07.2022;9,2102;4
09.07.2022;9,2827;4
08.07.2022;9,5937;4
07.07.2022;9,5579;4
06.07.2022;8,9461;4
05.07.2022;8,7140;4
02.07.2022;8,5942;4
01.07.2022;8,2890;4
30.06.2022;7,6985;4
29.06.2022;7,9762;4
28.06.2022;8,0484;4
25.06.2022;8,0183;4
24.06.2022;8,0048;4
23.06.2022;8,0226;4
22.06.2022;8,2699;4
21.06.2022;8,4740;4
18.06.2022;8,5578;4
17.06.2022;8,5545;4
16.06.2022;8,5416;4
15.06.2022;8,6051;4
11.06.2022;8,8979;4
10.06.2022;9,0811;4
09.06.2022;9,2661;4
08.06.2022;9,3004;4
07.06.2022;9,3098;4
04.06.2022;9,4166;4
03.06.2022;9,3570;4
02.06.2022;9,3709;4
01.06.2022;9,4070;4
31.05.2022;9,5603;4
27.05.2022;9,4764;4
26.05.2022;8,5902;4
25.05.2022;8,7065;4
24.05.2022;8,7985;4
21.05.2022;8,8803;4
20.05.2022;9,2395;4
19.05.2022;9,4595;4
18.05.2022;9,4471;4
17.05.2022;9,3623;4
14.05.2022;9,3654;4
13.05.2022;9,6905;4
06.05.2022;9,9965;4
